ababa	a bab a
azo	a zo
azobuye	a zo buy e
azokuba	a zo ku b a
azokubamba	a zo ku bamb a
azokusiza	a zo ku siz a
azolutshela	a zo lu tshel a
azombulala	a zo m bulal a
azomenza	a zo m enz a
azomkhulekela	a zo m khul ek el a
azongena	a zo ngen a
azophumela	a zo phum el a
azowakhuluma	a zo wa khulum a
azozikhunga	a zo zi khung a
azozithosela	a zo zi thos el a
azoziwashela	a zo zi wash el a
azumeke	a zum ek e
azwakale	a zw akal e
baba	b a b a, ba b a, baba
bababaze	ba ba baz e
babambana	ba bamb an a
babazi	ba b azi
babebathole	ba be ba thol e
babebuza	ba be buz a
babecabanga	b a be cabang a
babegqigqizela	b a be gqigqiz el a
babehamba	ba be hamb a
babekhathele	ba be khathel e
babekhona	b a be kho na
babekhuluma	ba be khulum a
babekhulumela	b a be khulum el a
babelungu	b a be lungu
babembiza	ba be m biz a
babemshaya	b a be m shay a
babemvakashela	ba be m vakash el a
babenendlela	ba be n e n dlela
babenezikhowe	ba be n e zi khowe
babengahambile	ba be nga hamb ile
babengakabi	b a be nga ka b i
babengamkhohlwa	b a be nga m khohl w a, ba be nga m khohl w a
babengaphuthi	b a be nga phuth i
babengasakutholi	ba be nga sa ku thol i
babengasasithakaseli	ba be nga sa si thakas el i
babengazi	ba be ng azi
babengcolise	ba be ngcol is e
babengcolisile	b a be ngcol is ile
babengena	b a be ngen a
babengenakulokotha	ba be nge na ku lokoth a
babengobani	ba be ng o bani
babephilisa	ba be phil is a
babeqonda	ba be qond a
babesazoyicubungula	ba be sa zo yi cubungul a
babesebenzisa	b a be sebenz is a
babesho	ba be sho
babesusela	ba be sus el a
babethi	ba be thi
babevamise	b a be vam is e
babeyibuke	b a be yi buk e
babeyogcina	b a be yo gcin a
babeze	ba be z e
babezikhalela	b a be zi khal el a
babezozwa	ba be zo zw a
babhekana	ba bhek an a
babhekane	ba bhek an e
babheke	ba bhek e
babhinca	ba bhinc a
babika	ba bik a
babikelwani	ba bik el w a ni
babo	ba bo
babona	b a bon a, ba bon a
babone	ba bon e
babonile	ba bon ile
babukana	b a buk an a
babuke	ba buk e
babukhona	b a bu kho na
babulalane	ba bulal an e
babulale	ba bulal e
babuphela	b a bu phel a
babuya	ba buy a
babuye	ba buye
babuyisa	ba buy is a
babuze	ba buz e
bacabanga	ba cabang a
bacacamezela	ba cacamez el a
bacatshangelwe	ba catshang el w e
bacebe	ba ceb e
bacele	ba cel e
bachaze	ba chaz e
bacishe	ba cishe
badedelwe	ba dedel w e
badela	ba del a
badinga	b a ding a, ba ding a
badle	ba dl e
badleni	ba dl e ni
bafana	b a fan a, ba fana
bafanelana	ba fan el an a
bafanele	ba fanel e
bafazi	ba fazi
bafihla	b a fihl a
bafika	ba fik a
bafike	ba fik e
bafise	ba fis e
bafuna	b a fun a
bafunani	ba fun a ni
bafunde	ba fund e
bafundela	b a fundel a, ba fundel a
bafuthi	ba futhi
bagadwe	ba gad w e
bagcinana	b a gcin an a, ba gcin an a
bagcine	ba gcin e
bagomothelana	ba gomothel an a
bagqekezi	ba gqekez i
bagqoka	ba gqok a
bagqolozel	b a gqoloz el
bagxoba	ba gxob a
bahamba	b a hamb a, ba hamb a
bahambe	ba hamb e
bahlabe	ba hlab e
bahlala	ba hlal a
bahlehlela	ba hlehl el a
bahleka	ba hlek a
bahlekani	ba hlek a ni
bahleke	ba hlek e
bahlenga	ba hleng a
bahlubuka	ba hlubuk a
bahlwitha	ba hlwith a
bahola	ba hol a
bajezelani	ba jez el a ni
bajeziselwani	ba jez is el w a ni
baka	baka
bakageorge	baka george
bakanozimanga	baka no zi manga
bakasigodo	baka si godo
bake	ba ke
baker	baker
bakhahlela	b a khahl el a, ba khahl el a
bakhalisa	ba khal is a
bakhathazwe	ba khathaz w e
bakhathele	ba khathel e
bakhe	ba khe
bakhethe	ba kheth e
bakhiphe	ba khiph e
bakho	ba kho
bakhohlwe	ba khohl w e
bakhokhelwa	ba khokh el w a
bakhombise	ba khomb is e
bakhona	ba kho na
bakhubeka	ba khub ek a
bakhuleka	ba khul ek a
bakhuluma	ba khulum a
bakhuthaze	ba khuthaz e
bakhwenyana	ba khwenyana
bakker	bakker
bakolobhe	ba kolobh e
bakubona	ba ku bon a
bakuhlupha	ba ku hluph a
bakulo	ba ku lo
bakulowaya	b a ku lo wa ya
bakuphi	ba ku phi
bakuthole	ba ku thol e
bakwa	ba kwa
bakwagereshoni	ba kwa gereshoni
bakwajosefa	ba kwa josefa
bakwamanase	ba kwa manase
bakwejwayele	ba kw ejwayel e
bakwenza	ba kw enz a
bakwethu	ba kw ethu
balaba	ba la ba
balala	ba lal a
balale	ba lal e
balandele	ba landel e
balandelisa	ba landel is a
balapha	balapha
bale	ba le
balemukela	ba l emuk el a
balesisizwe	ba le si si zwe
balikuqakuqa	b a li kuqakuq a
balimale	ba limal e
balinde	ba lind e
balindela	ba lind el a
balindele	ba lind el e
balishum	ba li shum
balishumi	ba li shumi
balotsholwa	ba lotshol w a
balubeke	b a lu bek e
balwa	ba lw a
bamane	ba mane
bamangala	ba mangal a
bamangale	ba mangal e
bamantombazanyana	b a ma ntombazany ana
bamasondo	b a ma sondo
bamba	bamb a
bambamba	b a m bamb a, ba m bamb a
bambangisani	ba m bang is a ni
bambone	ba m bon e
bamenze	ba m enz e
bamhlinze	ba m hlinz e
bamila	ba mil a
bamisa	ba m is a
bamkhonza	b a m khonz a
bamlalise	ba m lal is e
bammbela	ba m mb el a
bamnike	b a m nik e
bamnquma	b a m nqum a, ba m nqum a
bamokha	ba m okh a
bamotha	ba m oth a
bamphethe	ba m pheth e
bamsiza	ba m siz a
bamtatamisa	ba m tatam is a
bamthunge	ba m thung e
bamtshela	ba m tshel a
bamtshele	ba m tshel e
bamtshenele	ba m tshen el e
bamxosha	b a m xosh a, ba m xosh a
banake	ba nak e
bancenge	ba nceng e
bandla	bandla
banemihuzuko	ba n e mi huzuk o
banezinduna	ba n e zin duna
bangabakho	ba nga b a kho
bangabantwana	ba ng a ba ntwana
bangabi	ba nga b i
bangacabangi	ba nga cabang i
bangadilizwa	ba nga diliz w a
bangahlala	ba nga hlal a
bangakhali	ba nga khal i
bangakhohlwa	ba nga khohl w a
bangakholwa	ba nga khol w a
bangamaqhawe	ba ng a ma qhawe
bangamboni	ba nga m bon i
bangamthathela	ba nga m thath el a
bangaqhamukela	ba nga qhamuk el a
bangasazi	ba nga s azi
bangathengi	ba nga theng i
bangayiphazamisi	ba nga yi phazam is i
bangaze	ba nga ze
bangazifundisi	ba nga zi fund is i
bangehlukaniselana	ba ng ehlukan is el an a
bangena	ba ngen a
bangene	ba ngen e
bangenisana	ba ngen is an a
bangibiza	ba ngi biz a
bangidovadova	ba ngi dovadov a
banginike	ba ngi nik e
banginikeza	ba ngi nikez a
bangiqamba	ba ngi qamb a
bangitshela	ba ngi tshel a
bangitshele	ba ngi tshel e
bangobani	ba ng o bani
bangqumuza	ba ngqumuz a
bani	bani
banibani	banibani
baningi	ba ningi
banjani	ba njani
banokwesaba	ba n o kw esab a
bantu	ba ntu
baphanga	ba phang a
baphaphame	ba phapham e
baphathiswe	ba phath is w e
baphela	b a phel a, ba phel a
baphendule	ba phendul e
baphephile	ba pheph ile
baphikela	ba phik el a
baphila	ba phil a
baphinde	ba phind e
baphuma	ba phum a
baphume	b a phum e, ba phum e
baphumelele	ba phumelel e
baphumule	ba phumul e
baphuze	ba phuz e
baqala	ba qal a
baqalaqalaza	ba qalaqalaz a
baqaphele	ba qaphel e
baqaqa	ba qaq a
baqasheliswe	ba qash el is w e
baqhamuka	ba qhamuk a
baqhubekele	ba qhub ek el e
baqojama	b a qojam a, ba qojam a
baqonda	ba qond a
baqonde	ba qond e
basa	b a s a
basabonakala	ba sa bon akal a
basabonga	ba sa bong a
basacabanga	ba sa cabang a
basahlikana	ba sa hlik an a
basale	b a sal e, ba sal e
basanda	ba sand a
basayina	ba sayin a
base	ba se
basebancane	ba se ba ncane
basebenzisa	b a sebenz is a
basemvakwami	ba se mva kwa mi
basendleleni	ba se n dlel eni
basha	ba sh a
bashaye	ba shay e
bashayisane	ba shay is an e
basheshe	ba shesh e
basho	ba sho
bashonaphi	ba shon a phi
bashoqongane	ba shoqong an e
basibona	ba si bon a
basifinyeze	ba si finyez e
basikhombisa	ba si khomb is a
basishiya	ba si shiy a
basondela	ba sondel a
basuka	b a suk a, ba suk a
basuke	ba suk e
basukume	ba sukum e
basuse	ba sus e
basuthe	ba suth e
bathamba	ba thamb a
bathanda	ba thand a
bathandana	b a thand an a, ba thand an a
bathande	ba thand e
bathathe	ba thath e
bathathwe	ba thath w e
bathe	ba th e
bathenge	b a theng e, ba theng e
bathengisa	ba theng is a
bathi	ba thi
bathini	ba thi ni
bathokoza	b a thokoz a, ba thokoz a
bathola	ba thol a
bathole	ba thol e
bathule	ba thul e
bathumele	ba thum el e
bathuthana	b a thuth an a
bavalelisa	ba valel is a
bavalelise	ba val el is e
bavele	ba vele
bavelelwe	ba velel w e
bavuma	b a vum a, ba vum a
bavuthwa	ba vuth w a
bawathenge	ba wa theng e
bawuthola	ba wu thol a
bawuvuma	b a wu vum a, ba wu vum a
baxinwe	ba xin w e
baxoxa	ba xox a
baxoxele	ba xox el e
baya	ba y a
bayaazana	ba ya az an a
bayabubula	ba ya bubul a
bayafika	ba ya fik a
bayagqibana	ba ya gqib an a
bayakubalekela	ba ya ku balekel a
bayakusuka	ba ya ku suk a
bayakuthakatha	ba ya ku thakath a
bayakuthanda	ba ya ku thand a
bayalibala	ba ya libal a
bayamgcina	ba ya m gcin a
bayamnqoba	ba ya m nqob a
bayamthakasela	ba ya m thakas el a
bayangena	ba ya ngen a
bayaphefumula	ba ya phefumul a
bayasebenza	ba ya sebenz a
bayashada	ba ya shad a
bayatatazela	ba ya tataz el a
bayathetha	ba ya theth a
bayathutha	ba ya thuth a
bayayalwa	ba ya yal w a
bayaye	ba ya y e
bayayehla	ba ya y ehl a
bayazi	ba y azi
bayazibhekela	ba ya zi bhek el a
bayazibuza	ba ya zi buz a
bayazisebenzela	ba ya zi sebenz el a
baye	ba y e
bayehla	ba y ehl a
bayenyuka	ba y enyuk a
bayezwelana	ba y ezw el an a
bayibona	ba yi bon a
bayibone	ba yi bon e
bayibulele	ba yi bulel e
bayicela	ba yi cel a
bayigqibela	ba yi gqibel a
bayigqoma	ba yi gqom a
bayigwazela	ba yi gwaz el a
bayikhombise	ba yi khomb is e
bayinkinga	ba y i n kinga
bayithanda	b a yi thand a, ba yi thand a
bayithini	ba yi thi ni
bayithole	ba yi thol e
bayizithunjwa	ba y i zi thunj w a
bayizolo	ba y izolo
bayizwe	ba yi zw e
bayizwile	ba yi zw ile
bayofika	ba yo fik a
bayokuhlasela	ba yo ku hlas el a
bayokwazi	ba yo kw azi
bayomfaka	ba yo m fak a
bayongena	ba yo ngen a
bayophuma	ba yo phum a
bayothelana	ba yo thel an a
bayothenga	ba yo theng a
bayothungatha	ba yo thungath a
bayovuka	ba yo vuk a
bayoyithola	ba yo yi thol a
bazalwa	b a zal w a, ba zal w a
baze	ba ze
bazi	b azi
bazibeka	ba zi bek a
bazibonele	ba zi bon el e
bazichaze	ba zi chaz e
bazigcina	ba zi gcin a
bazikholisa	ba zi khol is a
bazilande	ba zi land e
bazilile	b a zi lil e
bazinza	ba zinz a
baziphathe	ba zi phath e
bazisane	b az is an e
bazithela	ba zi th el a
bazithintile	ba zi thint ile
bazithulele	ba zi thul el e
bazobona	ba zo bon a
bazobuye	ba zo buy e
bazoke	ba zo ke
bazokhula	ba zo khul a
bazokhuluma	ba zo khulum a
bazokhuphuka	ba zo khuphuk a
bazokulwa	ba zo ku lw a
bazoliqala	ba zo li qal a
bazongena	ba zo ngen a
bazophindela	ba zo phind el a
bazothi	ba zo thi
bazothini	ba zo thi ni
bazoyiphatha	ba zo yi phath a
be	be
bebaleke	be balek e
bebancane	be ba ncane
bebaningi	be ba ningi
bebe	be b e
bebemcuphile	be be m cuph ile
bebheka	be bhek a
bebheke	be bhek e
bebhekisisa	be bhek isis a
bebhuquza	be bhuquz a
bebobabili	be bo ba bili
bebona	be bon a
bebuyela	be buy el a
bebuzwa	be buz w a
becathama	be catham a
bededelana	be dedel an a
befakwa	be fak w a
befana	be fan a
befika	be fik a
befuna	be fun a
begugile	be gug ile
begula	be gul a
behambe	be hamb e
behambile	be hamb ile
behla	b ehl a
behlakazeka	be hlakaz ek a
behlala	be hlal a
behlalele	be hlal el e
behlangene	be hlangen e
behluleka	b ehlul ek a
bekade	be kade
bekhona	be kho na
bekhutshwa	be khutsh w a
bekhwezwe	be khwez w e
bekulo	be ku lo
bekumele	be ku m el e
bekungafanele	be ku nga fanel e
bekungahambi	be ku nga hamb i
bekungamathambo	be ku ng a ma thambo
bekunganjani	be ku nga njani
bekungasoze	be ku nga soz e
bekungefani	be ku nge fan i
bekuthiwe	be ku th iw e
bekutshela	be ku tshel a
bekuvamise	be ku vam is e
bekuvumelani	be ku vum el a ni
bekuyikunibikela	be ku yi ku ni bik el a
bekuyizolo	be ku y izolo
bekuyoze	be ku yo ze
bekuzobathatha	be ku zo ba thath a
bekwazi	be kw azi
bekwenzenjani	be kw enz e njani
belidla	be li dl a
belikade	be li kade
belimibala	belimibala
beliqeda	be li qed a
belithi	be li thi
belivula	be li vul a
belobiza	be lobiz a
belu	belu
belungu	be lungu
beluqondeni	be lu qond e ni
belusa	b elus a
bembe	b emb e
bembona	be m bon a
beme	b em e, be m e
bemficile	be m fic ile
bemi	b em i
bemisa	be m is a
bemnaka	be m nak a
benakene	be nak en e
benamahloni	be n a ma hloni
bencenge	be nceng e
bengaka	be ngaka
bengalali	be nga lal i
bengamboni	be nga m bon i
bengangibuyisela	be nga ngi buy is el a
bengaqondile	be nga qond ile
bengasebantu	be nga se ba ntu
bengasesangweni	be nga se sangw eni
bengatholakala	be nga thol akal a
bengawazi	be nga w azi
bengawuboni	be nga wu bon i
bengazi	be ng azi
bengazibekile	be nga zi bek ile
bengemuva	be ng emuva
bengena	be ngen a
bengenamahloni	be nge na ma hloni
bengibusa	be ngi bus a
bengifuna	be ngi fun a
bengihleli	be ngi hlel i
bengikhuzela	be ngi khuz el a
bengikupunela	be ngi ku pun el a
bengimbona	be ngi m bon a
benginaye	be ngi na ye
bengingakwazi	be ngi nga kw azi
bengingaphansi	be ngi nga phansi
bengingayazi	be ngi nga y azi
bengingayeka	be ngi nga yek a
bengingazi	be ngi ng azi
bengisemanzimtoti	be ngi se ma nzi mtoti
bengithi	be ngi thi
bengitsheliswa	be ngi tshel is w a
bengivele	be ngi vel e
bengivumelani	be ngi vum el a ni
bengiye	be ngi ye
bengizincokolela	be ngi zi ncokol el a
bengizophindela	be ngi zo phind el a
bengizothini	be ngi zo thi ni
bengizwele	be ngi zw el e
bengqubuzeka	be ngqubuz ek a
benjalo	be njalo
benkunzi	b e n kunzi
benosikhuni	be n o si khuni
bentombazana	b e n tombaz ana
benyonyoba	be nyonyob a
benyuka	b enyuk a
benza	b enz a
benzakaliswa	b enz akal is w a
benze	b enz e
benziwa	b enz iw a
bepha	be ph a
bephelela	be phel el a
bephindelela	be phindel el a
bephuma	be phum a
beqa	b eq a
beqala	be qal a
beqambe	be qamb e
beqhamuka	be qhamuk a
beqhubekela	be qhub ek el a
beqondana	be qond an a
beqonde	be qond e
besamangele	be sa mangel e
bese	be se
besebancane	be se ba ncane
besebenza	be sebenz a
beseklasini	be se klas ini
besekwaluseni	be se kwa luseni
besemvakwakhe	be s emva kwa khe
besengiyizwile	be se ngi yi zw ile
besesenzeka	be se s enz ek a
beseyiziswambithi	be se y i zi swambithi
beshabasheka	be shabash ek a
beshaqeke	be shaq ek e
beshaya	be shay a
beshayana	be shay an a
beshiswa	be sh is w a
beshiya	be shiy a
besifazane	b e si faz ane
besimlindele	be si m lind el e
besingadala	be si nga dal a
besingashiswa	be si nga sh is w a
besingehlukene	be si ng ehluk en e
besingobani	be si ng o bani
besizoke	be si zo ke
besizwe	b e si zwe, be si zw e
besole	be sol e
besondela	be sondel a
besuka	be suk a
bethanda	be thand a
bethi	be thi
bethu	b ethu
bethwele	be thwel e
betshela	be tshel a
betshelwa	be tshel w a
bevale	be val e
bexhunywe	be xhuny w e
beya	be y a
beyakubamba	be ya ku bamb a
beyebula	be y ebul a
beyikhuluma	be yi khulum a
beyiphethe	be yi pheth e
beyocambalala	be yo cambalal a
beyothenga	be yo theng a
beza	be z a
beze	be z e, be ze
bezeki	b e zeki
bezele	be z el e
bezibona	be zi bon a
bezibonela	be zi bon el a
bezihambela	be zi hamb el a
bezikhumba	b e zi khumba
bezimkhonze	be zi m khonz e
bezindaba	b e zin daba
bezindawo	b e zin dawo
bezinombolo	b e zi nombolo
bezitezi	b e zi tezi
bezovalelwa	be zo val el w a
bezwa	b ezw a
bezwe	be zw e
bha	bha
bhe	bhe
bheka	bhek a
bhekake	bhek a ke
bhishi	bhishi
bhoka	bhok a
bhu	bhu
bhuku	bhuku
bhulose	bhulose
bhuti	bhuti
bikho	bikho
bo	bo
bobabili	bo ba bili
bobesethelelekile	b o be se thel el ek ile
bobugazagaza	b o bu gazagaza
bokufa	b o ku f a
bokukhohlwa	b o ku khohl w a
bomakhelwane	bo makhelwane
bomhlaba	b o m hlaba
bomkhwenyane	b o m khwenyane
bona	bo na
bonga	bong a
bonke	bo nke
bothina	bo thi na
boxoshwa	b o xosh w a
brusciotto	brusciotto
bubangwa	bu bang w a
bube	bu b e
budebuduze	budebuduze
buhle	bu hle
buhlungu	buhlungu
bukajantshi	buka jantshi
bukajehova	buka jehova
bukhombisa	bu khomb is a
bumsibekele	bu m sibek el e
bungehli	bu ng ehl i
bunomusa	bu n o mu sa
buqamamana	bu qamam ana
busabuya	bu sa buy a
buthelezi	bu thelezi
buthi	bu thi
buthongo	bu thongo
buthule	bu thul e
buthutha	bu thuth a
buyasa	bu ya s a
buzala	bu zal a
buzohlelwa	bu zo hlel w a
c	c
cabanga	cabang a
cela	cel a
cetshwayo	cetshwayo
cha	cha
chaphasha	chaphasha
chokochoko	chokochoko
cingo	cingo
cishe	cishe
coshosho	coshosho
cosololo	cosololo
cwaka	cwaka
cwi	cwi
d	d
daba	daba
dadewethu	dade w ethu
dakla	dakla
damu	damu
dhlomo	dhlomo
dlamini	dlamini
dlanini	dl a nini
dokotela	dokotela
dolly	dolly
drama	drama
du	du
dukuduku	dukuduku
duze	duze
e	e
ebalandele	e ba landel e
ebamba	e bamb a
ebambe	e bamb e
ebandla	e bandl a
ebangeni	e bang eni
ebangwa	e bang w a
ebastion	e bastion
ebe	e b e
ebehlezi	e be hlez i
ebeka	e bek a
ebekelwe	e bek el w e
ebekwe	e bek w e
ebema	e bem a
ebemi	e be m i
ebese	e be se
ebesemncane	e be se m ncane
ebesiwuphethe	e be si wu pheth e
ebesiyomngcwaba	e be si yo m ngcwab a
ebethele	e beth el e
ebeyidingidwa	e be yi dingid w a
ebezicijwa	e be zi cij w a
ebeziyigugu	e be zi y i gugu
ebhaliwe	e bhal iw e
ebhange	e bhange
ebhasini	e bhas ini
ebhayi	e bhayi
ebhayibhelini	e bhayibhel ini
ebhebhetheke	e bhebheth ek e
ebheke	e bhek e
ebhekekayo	e bhek ek a yo
ebhekephi	e bhek e phi
ebhekile	e bhek ile
ebhekisisa	e bhek isis a
ebhibha	e bhibh a
ebhikilini	e bhikil ini
ebhokisini	e bhokis ini
ebika	e bik a
ebila	e bil a
ebilokhu	e b i lokhu
ebinawo	e b i na wo
ebishiwo	e b i sh iw o
ebizana	e biz an a
ebizwisa	e b i zw is a
ebloemfontein	e bloemfontein
ebomvu	e bomvu
ebona	e bon a
ebonga	e bong a
ebuhlungu	e buhlungu
ebuka	e buk a
ebulale	e bulal e
ebusuku	e bu suku
ebusweni	e bus w eni
ebuthongweni	e bu thongw eni
ebuza	e buz a
ebuzwa	e buz w a
ecabanga	e cabang a
ecacile	e cac ile
ecathama	e catham a
ecele	e cel e
eceleni	e cel eni
echobana	e chob an a
econsa	e cons a
ecubungula	e cubungul a
eculile	e cul ile
edanawozi	e danawozi
edandi	e dandi
edingekayo	e ding ek a yo
edla	e dl a
edlula	e dlul a
edlulela	e dlulel a
edobana	e dob an a
edoleni	e dol eni
edolobheni	e dolobh eni
edolweni	e dolw eni
edomi	e domi
eduzane	e duz ane
eduze	eduze
edwaleni	e dwal eni
efana	e fan a
efanayo	e fan a yo
efanele	e fanel e
efasiteleni	e fasitel eni
efika	e fik a
efikelwa	e fik el w a, e fikel w a
efikile	e fik ile
efilidi	e filidi
efrayimi	efrayimi
efudumele	e fudumel e
efuna	e fun a
efundisiwe	e fund is iw e
efunwa	e fun w a
egcekeni	e gcek eni
egcina	e gcin a
egcotshwayo	e gcotsh w a yo
egculisiwe	e gcul is iw e
egcwala	e gcwal a
egcwele	e gcwel e
egibhithe	e gibhithe
egibithe	e gibithe
egijima	e gijim a
egiligali	e giligali
egobodisile	e gobod is ile
egoli	e goli
egqiha	e gqih a
egqoke	e gqok e
egqumeni	e gqum eni
egubazi	e gubazi
egugwini	e gugw ini
egula	e gul a
egulela	e gul el a
egulile	e gul ile
egunjini	e gunj ini
ehamba	e hamb a
eharada	e harada
ehawukele	e hawukel e
ehefuzela	e hefuz el a
eheleza	e helez a
ehene	e hen e
ehhashiini	e hhashi ini
ehhokeni	e hhok eni
ehhokweni	e hhokw eni
ehhovisi	e hhovisi
ehlathini	e hlath ini
ehleka	e hlek a
ehlekisa	e hlek is a
ehleli	e hlel i
ehlelwa	e hlel w a
ehlezi	e hlez i
ehlola	e hlol a
ehlombe	e hlombe
ehlukene	e hluken e
ehluleke	e hlul ek e
ehlulwa	e hlul w a
ehlupheka	e hluph ek a
ehlushwa	e hlush w a
ehori	e hori
ehovisi	e hovisi
ejabulisayo	e jabul is a yo
ejahe	e jah e
ejalidini	e jalid ini
ejotbatha	e jotbatha
ekade	e kade
eke	e ke
ekhala	e khal a
ekhaleni	e khal eni
ekhanda	e khanda
ekhasela	e khas el a
ekhathi	e khathi
ekhaya	e khaya
ekhe	e kh e
ekhipha	e khiph a
ekholishi	e kholishi
ekhomba	e khomb a
ekhombisa	e khomb is a
ekhombisisa	e khombis is a
ekhona	e kho na
ekhonga	e khong a
ekhuluma	e khulum a
ekhulumayo	e khulum a yo
ekhumbule	e khumbul e
ekhumula	e khumul a
ekhuphukayo	e khuphuk a yo
ekubeni	e ku b eni
ekublukaniseni	e ku blukanis eni
ekucabanga	e ku cabang a
ekudalweni	e ku dal w eni
ekude	e kude
ekufake	e ku fak e
ekufundiseni	e ku fund is eni
ekugcineni	e ku gcin eni
ekukhuleni	e ku khul eni
ekulelibutho	e ku le li buth o
ekulesisimo	e ku le si si m o
ekulishumpuleni	e ku li shumpul eni
ekuntshontsheni	e ku ntshontsh eni
ekuphethe	e ku pheth e
ekuphi	e ku phi
ekuqaleni	e ku qal eni
ekusebenziseni	e ku sebenz is eni
ekuseni	e ku s eni
ekuthini	e ku th ini
ekuzona	e ku z on a
ekwazi	e kw azi
elaba	e laba
elabe	e labe
elakhe	e la khe
elakhona	e la kho na
elakithi	e la ki thi
elakwambabo	e la kwa mbabo
elale	e lal e
elalibizwa	e l a li biz w a
elalibuka	e l a li buk a
elalihamba	e l a li hamb a
elalimhlophe	e l a li mhlophe
elalingene	e l a li ngen e
elamavaka	e l a ma vaka
elambeka	e l a m bek a
elambile	e lamb ile
elaphakathi	elaphakathi
elase	e l a se
elayeze	e layez e
eledlule	e l edlul e
elele	e lel e
elibangisa	e li bang is a
elibomvu	e li bomvu
eliboshelwe	e li bosh el w e
elihle	e li hle
elihlola	e li hlol a
elikabani	e li ka bani
elikhinyabezwe	e li khinyabez w e
elikholwa	e li khol w a
elikhosele	e li khosel e
elikhulu	e li khulu
elilodwa	e li lo dwa
elimnadi	e li mnadi
elimnyama	e li mnyama
elincane	e li ncane
elingene	e li ngen e
elingumamba	e li ng u mamba
elinikina	e li nikin a
elinye	e li nye
elishelelelayo	e li shelel el a yo
elishintshile	e li shintsh ile
elishisayo	e li shis a yo
elisikhohlisa	e li si khohl is a
elithwele	e li thwel e
elivuliwe	e li vul iw e
elivulwa	e li vul w a
eliya	e li y a
eliyinkuluvele	e li y i n kulu vele
eliyinto	e li y i n to
elizayo	e li z a yo
elobela	e lobel a
elokhu	e lokhu
elokuqala	e l o ku qal a
elokuthelela	e l o ku thel el a
elotshwe	e lotsh w e
elovu	e lovu, elovu
eluhlaza	e luhlaza
elulekwa	e lul ek w a
elunge	e lung e
elungile	e lung ile
elusile	e lu s ile
elwayiza	e lwayiz a
emabhange	e ma bhange
emabhantshini	e ma bhantsh ini
emabhokwini	e ma bhokw ini
emabhukwini	e ma bhukw ini
emaceleni	e ma cel eni
emadwaleni	e ma dwal eni
emafini	e ma f ini
emahlombe	e ma hlombe
emahlongwa	e ma hlongwa
emakeloti	e ma keloti
emakethe	e makethe
emakhanda	e ma khanda
emakhaya	e ma khaya
emakhekheni	e ma khekh eni
emakhulwini	e ma khulw ini
emakubo	e ma ku bo
emalokishini	e ma lokish ini
emalolini	e ma lol ini
emamatheka	e mamathek a
emane	e mane
emangalisayo	e mangal is a yo
